Montgomery Curve - Initialization Time (s);Montgomery Curve - Signature Time (s);Montgomery Curve - Verification Time (s);Edwards Curve - Initialization Time (s);Edwards Curve - Signature Time (s);Edwards Curve - Verification Time (s);Twisted Edwards Curve - Initialization Time (s);Twisted Edwards Curve - Signature Time (s);Twisted Edwards Curve - Verification Time (s)
0.37022;0.36686;0.77585;0.30515;0.27953;0.24191;0.27569;0.27431;0.23839
0.34235;0.37277;0.84647;0.27708;0.33109;0.2426;0.27886;0.32809;0.24363
0.35567;0.36708;0.75968;0.29816;0.28711;0.23755;0.28648;0.29054;0.23862
0.3327;0.35177;0.77875;0.27547;0.27426;0.24452;0.28952;0.28156;0.23753
0.36327;0.36313;0.83344;0.27198;0.27099;0.23876;0.27282;0.28085;0.24021
0.35416;0.35537;0.78777;0.274;0.27954;0.24293;0.27719;0.28071;0.23877
0.35272;0.39847;0.79671;0.29314;0.30295;0.24285;0.28396;0.29005;0.23942
0.34475;0.34885;0.81936;0.28846;0.2808;0.24111;0.26915;0.31425;0.24224
0.34948;0.47101;0.79271;0.2863;0.27598;0.23775;0.2762;0.28052;0.2397
0.33959;0.37529;0.79776;0.33436;0.28192;0.23841;0.29494;0.28883;0.26639
0.3451;0.4236;0.78187;0.28368;0.26469;0.25191;0.28657;0.27853;0.23744
0.34505;0.34413;0.78307;0.28475;0.28092;0.2386;0.26791;0.2915;0.23637
0.36016;0.36223;0.79103;0.30473;0.28365;0.26133;0.31841;0.27625;0.25199
0.33925;0.36083;0.83473;0.2663;0.26033;0.23663;0.2803;0.30923;0.23931
0.35399;0.36385;0.77598;0.30226;0.2769;0.2382;0.28274;0.29152;0.23929
0.34375;0.35861;0.77008;0.29488;0.27167;0.2382;0.29144;0.29857;0.23905
0.34585;0.36677;0.80414;0.31763;0.41188;0.29357;0.36485;0.33695;0.26349
0.48298;0.43328;0.80277;0.26075;0.28212;0.24736;0.27675;0.27219;0.23708
0.35902;0.34239;0.77662;0.28383;0.27812;0.24908;0.28158;0.29212;0.25012
0.38516;0.3862;0.8577;0.2821;0.29615;0.24186;0.27158;0.29776;0.24554
0.39631;0.36744;0.80386;0.28497;0.30004;0.34236;0.27416;0.28177;0.24124
0.37265;0.35376;0.78057;0.34057;0.289;0.24919;0.28801;0.28612;0.2413
0.34145;0.35092;0.77725;0.30316;0.29345;0.23911;0.29183;0.29274;0.24404
0.34735;0.4506;0.84317;0.30862;0.29822;0.24052;0.28402;0.2913;0.24677
0.36652;0.37129;0.77442;0.36536;0.28507;0.2439;0.27503;0.28711;0.23783
0.35579;0.35201;0.78149;0.28562;0.29131;0.24296;0.28625;0.29194;0.23847
0.36383;0.34993;0.77221;0.29071;0.28012;0.23844;0.28039;0.29362;0.27707
0.37883;0.37973;0.78809;0.29828;0.27854;0.24043;0.275;0.28659;0.23867
0.34503;0.36082;0.80443;0.31144;0.28291;0.24627;0.28326;0.28584;0.24148
0.35566;0.36381;0.81279;0.27504;0.27258;0.23795;0.29025;0.29458;0.23667
0.35645;0.35817;0.7702;0.27534;0.28367;0.24341;0.29593;0.28091;0.24847
0.36048;0.3637;0.78467;0.28568;0.26764;0.23752;0.28487;0.31153;0.24457
0.34231;0.38098;0.7825;0.29577;0.30386;0.23738;0.28655;0.27858;0.26261
0.35262;0.3459;0.7339;0.29331;0.28574;0.23702;0.28342;0.28255;0.23889
0.34765;0.35176;0.78026;0.28544;0.27972;0.24408;0.27892;0.28854;0.24107
0.33967;0.35721;0.77735;0.27727;0.27439;0.24057;0.28829;0.30475;0.23979
0.3432;0.39638;0.81365;0.32305;0.27864;0.23836;0.30103;0.28166;0.23653
0.34109;0.37062;0.78159;0.28583;0.27329;0.23897;0.29126;0.29049;0.25741
0.35294;0.35825;0.78548;0.28584;0.27498;0.24945;0.30327;0.41006;0.30562
0.45088;0.3954;0.79517;0.27906;0.27674;0.24059;0.288;0.27291;0.24287
0.35481;0.3549;0.793;0.28457;0.27971;0.23874;0.29415;0.28786;0.24334
0.38319;0.36775;0.79022;0.27815;0.27524;0.23869;0.29287;0.27616;0.25854
0.37086;0.35915;0.81678;0.2802;0.28402;0.2487;0.27719;0.27804;0.24087
0.3685;0.34478;0.79753;0.27028;0.29569;0.2717;0.27873;0.27993;0.23882
0.36795;0.35404;0.8821;0.29593;0.27751;0.26751;0.28448;0.28499;0.24748
0.36207;0.34997;0.78562;0.28645;0.29058;0.24366;0.2718;0.27895;0.23722
0.36864;0.34358;0.84626;0.27612;0.29909;0.24937;0.27703;0.28323;0.23689
0.35742;0.37003;0.82075;0.27683;0.30292;0.25118;0.28328;0.27913;0.23768
0.35567;0.36238;0.79199;0.28721;0.27253;0.25557;0.27941;0.27607;0.23966
0.35027;0.34959;0.82047;0.28541;0.28145;0.25219;0.29014;0.29361;0.24077
0.36591;0.36559;0.79182;0.28205;0.28124;0.2522;0.27844;0.28298;0.24541
0.37673;0.3506;0.83749;0.28452;0.28761;0.24405;0.28557;0.28214;0.25131
0.35677;0.36549;0.81448;0.29308;0.28767;0.23794;0.29135;0.26564;0.24697
0.35848;0.34801;0.79068;0.27631;0.28815;0.24022;0.28205;0.27348;0.25765
0.34726;0.3617;0.82168;0.28001;0.30455;0.24363;0.29493;0.27683;0.24424
0.36171;0.34688;0.80353;0.28867;0.29705;0.24212;0.28707;0.2805;0.25494
0.36749;0.35195;0.80065;0.27667;0.2981;0.24039;0.28354;0.28843;0.24664
0.35144;0.34733;0.81117;0.27564;0.30947;0.2433;0.27237;0.27679;0.25536
0.35647;0.34668;0.78082;0.27286;0.29475;0.25093;0.29637;0.27946;0.24416
0.34691;0.38331;0.78603;0.28057;0.29241;0.24733;0.28535;0.27793;0.27373
0.34858;0.34455;0.80278;0.28772;0.3191;0.24425;0.29395;0.28705;0.25289
0.35755;0.35361;0.7845;0.27177;0.28177;0.24091;0.2775;0.28138;0.25293
0.35322;0.36973;0.79448;0.27258;0.29181;0.24025;0.29152;0.27414;0.25408
0.34726;0.34555;0.82139;0.2904;0.29005;0.24323;0.27919;0.30368;0.24401
0.35041;0.36738;0.80948;0.27656;0.29198;0.23803;0.29821;0.29016;0.23996
0.34558;0.36097;0.79846;0.30452;0.28818;0.23822;0.27856;0.28162;0.24272
0.35065;0.35415;0.78481;0.27393;0.27731;0.2383;0.27579;0.29652;0.24361
0.34459;0.35543;0.80989;0.28385;0.28593;0.23896;0.27965;0.27488;0.26027
0.36329;0.36441;0.811;0.28348;0.30265;0.24097;0.30147;0.30206;0.23818
0.35657;0.36695;0.79561;0.293;0.2696;0.23994;0.27696;0.28165;0.23837
0.34394;0.3572;0.80099;0.29149;0.28598;0.23961;0.27893;0.30889;0.29675
0.35798;0.36334;0.75845;0.28962;0.26236;0.23913;0.28298;0.28112;0.23714
0.36328;0.34742;0.78965;0.28262;0.27169;0.23898;0.28409;0.27324;0.23739
0.34709;0.33159;0.78166;0.27809;0.27089;0.23871;0.28386;0.29473;0.24221
0.34622;0.34566;0.78229;0.27863;0.29009;0.23762;0.2691;0.27782;0.24597
0.34122;0.36053;0.77977;0.28142;0.2863;0.2379;0.26941;0.27908;0.24906
0.35929;0.34314;0.7796;0.27461;0.2838;0.23729;0.28238;0.28064;0.24201
0.34196;0.33524;0.79073;0.27227;0.27885;0.24039;0.28601;0.2907;0.24613
0.34638;0.34633;0.77668;0.28506;0.26907;0.2485;0.28496;0.28242;0.24421
0.35906;0.35237;0.78809;0.26906;0.2743;0.24561;0.28196;0.27878;0.23766
0.35934;0.34075;0.77827;0.28274;0.27268;0.24378;0.28799;0.27111;0.23755
0.35837;0.35025;0.79565;0.27712;0.27702;0.24301;0.28449;0.39073;0.25382
0.41699;0.34481;0.79294;0.28282;0.27418;0.24346;0.24181;0.48778;0.50932
0.55695;0.4564;0.795;0.27644;0.28047;0.22459;0.23405;0.23384;0.20009
0.29054;0.28959;0.67059;0.23888;0.24342;0.20737;0.23986;0.23038;0.23848
0.32587;0.30263;0.69419;0.29339;0.25255;0.21189;0.25382;0.24859;0.21074
0.31517;0.32906;0.69668;0.24639;0.23375;0.20699;0.26448;0.32857;0.21195
0.29491;0.3061;0.77575;0.22107;0.24477;0.21875;0.3098;0.26769;0.24038
